"","# of RMAs","Qty","LED","Product_Family","LED_Acct_Val","LEM_Acct_Val","Total_cost"
"1",2,81,"LED-319-S00-30","BEVELED MINI",10.25,11.6139,940.7259
"2",6,57,"LED-203-27-HI","NANO/MINI",11.7,12.3874,706.0818
"3",1,40,"LED-230-H02-27","BEVELED 2.0",24.69,26.599,1063.96
"4",2,36,"LED-203-30","NANO/MINI",11.7,12.5612,452.2032
"5",1,36,"LED-203-40","NANO/MINI",11.7,12.5612,452.2032
"6",2,30,"LED-240-S00-27","BEVELED 2.1",13.8,15.709,471.27
"7",2,15,"LED-203-30-HI","NANO/MINI",11.7,12.3874,185.811
"8",3,12,"LED-203-27","NANO/MINI",11.7,12.5612,150.7344
"9",1,12,"LED-230-S02-40","BEVELED 2.0",24.69,26.6101,319.3212
"10",1,12,"LED-240-S00-40","BEVELED 2.1",13.8,15.709,188.508
"11",1,11,"LED-219-S00-6022","BEVELED COLOR SELECT",20.1,20.725,227.975
"12",2,10,"LED-313-H00-3022","BEVELED MINI WGD",25.3,25.925,259.25
"13",1,8,"LED-204-S00-2722","BEVELED WGD",14.42,15.045,120.36
"14",1,8,"LED-239-H00-30","BEVELED 2.2",13.8,15.7433,125.9464
"15",3,7,"LED-274-H00-30","SLIVERLED",10.82,12.3426,86.3982
